Date,Totalflow
1/1/2015,11414
1/2/2015,12449
1/3/2015,11024
1/4/2015,10399
1/5/2015,11864
1/6/2015,12145
1/7/2015,10781
1/8/2015,10781
1/9/2015,11784
1/10/2015,12691
1/11/2015,11374
1/12/2015,10965
1/13/2015,10873
1/14/2015,11218
1/15/2015,10885
1/16/2015,11843
1/17/2015,12357
1/18/2015,10534
1/19/2015,9895
1/20/2015,9262
1/21/2015,10782
1/22/2015,9887
1/23/2015,11616
1/24/2015,11954
1/25/2015,10524
1/26/2015,9733
1/27/2015,10780
1/28/2015,11107
1/29/2015,10554
1/30/2015,11924
1/31/2015,12340
2/1/2015,10847
2/2/2015,10810
2/3/2015,11637
2/4/2015,11747
2/5/2015,12123
2/6/2015,12475
2/7/2015,13100
2/8/2015,12575
2/9/2015,9605
2/10/2015,11989
2/11/2015,11767
2/12/2015,11949
2/13/2015,12701
2/14/2015,12849
2/15/2015,11008
2/16/2015,11296
2/17/2015,10622
2/18/2015,10208
2/19/2015,9207
2/20/2015,10705
2/21/2015,11460
2/22/2015,9921
2/23/2015,10413
2/24/2015,10550
2/25/2015,10675
2/26/2015,10535
2/27/2015,9839
2/28/2015,10337
3/1/2015,8926
3/2/2015,10176
3/3/2015,10438
3/4/2015,9175
3/5/2015,8998
3/6/2015,9722
3/7/2015,9805
3/8/2015,8579
3/9/2015,9548
3/10/2015,10399
3/11/2015,10989
3/12/2015,9708
3/13/2015,11261
3/14/2015,12177
3/15/2015,10674
3/16/2015,10032
3/17/2015,10269
3/18/2015,10208
3/19/2015,10477
3/20/2015,10911
3/21/2015,10818
3/22/2015,9504
3/23/2015,10297
3/24/2015,10489
3/25/2015,10408
3/26/2015,10681
3/27/2015,10873
3/28/2015,11067
3/29/2015,9461
3/30/2015,10373
3/31/2015,10395
4/1/2015,10353
4/2/2015,9169
4/3/2015,9109
4/4/2015,8803
4/5/2015,8882
4/6/2015,8649
4/7/2015,11010
4/8/2015,10070
4/9/2015,11850
4/10/2015,10700
4/11/2015,10539
4/12/2015,8508
4/13/2015,7387
4/14/2015,8938
4/15/2015,10364
4/16/2015,10866
4/17/2015,11283
4/18/2015,11597
4/19/2015,11114
4/20/2015,11019
4/21/2015,10982
4/22/2015,9805
4/23/2015,8573
4/24/2015,10998
4/25/2015,11641
4/26/2015,10796
4/27/2015,9955
4/28/2015,9900
4/29/2015,10745
4/30/2015,11318
5/1/2015,12129
5/2/2015,11244
5/3/2015,10780
5/4/2015,8969
5/5/2015,10775
5/6/2015,10537
5/7/2015,8814
5/8/2015,11275
5/9/2015,10468
5/10/2015,8774
5/11/2015,10317
5/12/2015,10939
5/13/2015,10671
5/14/2015,10569
5/15/2015,10455
5/16/2015,11370
5/17/2015,10166
5/18/2015,10224
5/19/2015,10674
5/20/2015,10578
5/21/2015,10912
5/22/2015,10396
5/23/2015,9579
5/24/2015,9025
5/25/2015,8331
5/26/2015,9903
5/27/2015,10909
5/28/2015,9666
5/29/2015,10781
5/30/2015,10853
5/31/2015,10290
6/1/2015,10633
6/2/2015,11024
6/3/2015,11567
6/4/2015,11547
6/5/2015,11903
6/6/2015,12072
6/7/2015,10412
6/8/2015,11024
6/9/2015,11384
6/10/2015,11443
6/11/2015,11123
6/12/2015,12303
6/13/2015,12612
6/14/2015,10772
6/15/2015,11564
6/16/2015,11725
6/17/2015,12052
6/18/2015,11852
6/19/2015,10560
6/20/2015,12229
6/21/2015,10009
6/22/2015,11064
6/23/2015,10126
6/24/2015,11720
6/25/2015,10905
6/26/2015,12535
6/27/2015,12439
6/28/2015,9935
6/29/2015,11642
6/30/2015,11818
7/1/2015,11718
7/2/2015,11185
7/3/2015,13424
7/4/2015,14088
7/5/2015,11399
7/6/2015,12997
7/7/2015,12810
7/8/2015,11860
7/9/2015,11797
7/10/2015,12381
7/11/2015,12362
7/12/2015,10839
7/13/2015,11715
7/14/2015,11633
7/15/2015,11715
7/16/2015,12059
7/17/2015,10063
7/18/2015,12051
7/19/2015,12423
7/20/2015,11800
7/21/2015,11750
7/22/2015,11879
7/23/2015,12666
7/24/2015,14118
7/25/2015,14873
7/26/2015,11239
7/27/2015,14295
7/28/2015,11900
7/29/2015,11659
7/30/2015,12623
7/31/2015,12461
8/1/2015,13042
8/2/2015,12804
8/3/2015,12197
8/4/2015,12016
8/5/2015,11988
8/6/2015,12318
8/7/2015,12106
8/8/2015,12856
8/9/2015,11404
8/10/2015,12190
8/11/2015,12449
8/12/2015,11407
8/13/2015,11864
8/14/2015,12848
8/15/2015,12681
8/16/2015,11647
8/17/2015,12750
8/18/2015,12293
8/19/2015,12555
8/20/2015,12539
8/21/2015,13585
8/22/2015,12825
8/23/2015,13072
8/24/2015,12424
8/25/2015,12812
8/26/2015,13291
8/27/2015,12993
8/28/2015,13529
8/29/2015,14552
8/30/2015,12994
8/31/2015,12930
9/1/2015,9527
9/2/2015,11190
9/3/2015,11929
9/4/2015,13189
9/5/2015,13137
9/6/2015,11494
9/7/2015,11497
9/8/2015,12483
9/9/2015,14021
9/10/2015,14179
9/11/2015,12481
9/12/2015,5306
9/13/2015,9314
9/14/2015,11726
9/15/2015,13225
9/16/2015,13116
9/17/2015,13161
9/18/2015,13112
9/19/2015,13470
9/20/2015,12545
9/21/2015,12995
9/22/2015,13140
9/23/2015,13809
9/24/2015,9945
9/25/2015,13056
9/26/2015,13931
9/27/2015,10668
9/28/2015,7867
9/29/2015,12565
9/30/2015,13470
10/1/2015,13297
10/2/2015,13531
10/3/2015,14283
10/4/2015,15755
10/5/2015,13274
10/6/2015,11419
10/7/2015,13311
10/8/2015,13726
10/9/2015,13497
10/10/2015,14360
10/11/2015,12326
10/12/2015,12794
10/13/2015,13167
10/14/2015,13465
10/15/2015,13330
10/16/2015,13334
10/17/2015,12446
10/18/2015,11058
10/19/2015,10585
10/20/2015,10954
10/21/2015,12386
10/22/2015,11663
10/23/2015,12379
10/24/2015,12324
10/25/2015,10537
10/26/2015,10341
10/27/2015,9538
10/28/2015,10308
10/29/2015,11539
10/30/2015,10563
10/31/2015,11787
11/1/2015,9380
11/2/2015,11293
11/3/2015,11994
11/4/2015,12103
11/5/2015,11818
11/6/2015,13424
11/7/2015,12829
11/8/2015,12184
11/9/2015,10658
11/10/2015,12831
11/11/2015,12883
11/12/2015,13191
11/13/2015,13366
11/14/2015,14158
11/15/2015,12313
11/16/2015,12864
11/17/2015,12952
11/18/2015,12800
11/19/2015,12645
11/20/2015,13655
11/21/2015,14276
11/22/2015,11233
11/23/2015,13365
11/24/2015,13377
11/25/2015,13008
11/26/2015,13355
11/27/2015,13952
11/28/2015,13531
11/29/2015,11676
11/30/2015,12542
12/1/2015,12275
12/2/2015,13374
12/3/2015,12698
12/4/2015,13351
12/5/2015,13667
12/6/2015,11413
12/7/2015,12723
12/8/2015,12102
12/9/2015,12702
12/10/2015,12936
12/11/2015,11035
12/12/2015,13056
12/13/2015,10594
12/14/2015,12201
12/15/2015,12373
12/16/2015,12444
12/17/2015,12327
12/18/2015,12186
12/19/2015,12374
12/20/2015,8082
12/21/2015,11552
12/22/2015,8752
12/23/2015,5500
12/24/2015,10620
12/25/2015,13032
12/26/2015,12415
12/27/2015,12352
12/28/2015,11980
12/29/2015,10898
